
Список отсутствующих кодов.

     Коды работ по выпуску РД	 | 	Наименование объекта/комплекта РД
1987	12UBN.J.C00.D-1000	 | 	Журнал контрольных кабелей ТТК. 2 канал СБ
1988	12UBN.J.C00.D-1010	 | 	Журнал контрольных кабелей ТТК. Нормальная эксплуатация
1989	12UBN.J.C00.D-1020	 | 	ПТК СКУ ЭЧ ЭБ. Журнал кабелей от электрооборудования
1990	12UBN.J.C00.D-1030	 | 	ПТК СКУ ЭЧ ЭБ. Таблицы внешних подключений
1991	12UBN.J.C00.D-1060	 | 	Кабельные соединения датчиков ТТК
1992	12UBN.J.C00.D-1070	 | 	МПУ. Журнал контрольных кабелей САУ ДГ 2 канала безопасности
1993	12UBN.J.C00.D-1080	 | 	МПУ. Журнал силовых кабелей САУ ДГ 2 канала безопасности
1994	12UBN.J.C00.D-1110	 | 	НКУ НЭ. Схемы внешних подключений к сборкам 0,38 кВ
1995	12UBN.J.C00.D-1120	 | 	НКУ СБ. Схемы внешних подключений к сборкам 0,38 кВ
1996	12UBN.J.C00.D-1130	 | 	НКУ СБ. Схемы заполнения сборок 0.38 кВ
1997	12UBN.J.C00.D-1140	 | 	НКУ систем НЭ. Схемы заполнения сборок 0.38 кВ
1998	12UBN.J.C00.D-1160	 | 	ПТК СКУ ЭЧ ЭБ. Схема структурная комплекса технических средств
1999	12UBN.J.C00.D-1170	 | 	Перечень измерительных контуров ТТК
2000	12UBN.J.C00.D-1180	 | 	СКУ В. ПТК В 2UBN. Схемы внешних подключений к МПУ
2001	12UBN.J.C00.D-1190	 | 	Схемы питания МПУ вторичных преобразователей КИП
2002	12UBN.J.C00.D-1200	 | 	Схемы подключения кабелей к шкафам МПУ вторичных преобразователей КИП
2003	12UBN.J.C00.D-1210	 | 	Трубные соединения датчиков ТТК
2004	12UBN.J.C00.D-1220	 | 	УСБТ ПТК ВД-2. Журнал контрольных кабелей МПУ
2005	12UBN.J.C00.D-1230	 | 	УСБТ ПТК ВД-2. Журнал силовых кабелей МПУ
2006	12UBN.J.C00.D-1240	 | 	УСБТ ПТК КХОП. Журнал контрольных кабелей МПУ
2007	12UBN.J.C00.D-1250	 | 	УСБТ ПТК ТД-2. Журнал контрольных кабелей МПУ
2008	12UBN.J.C00.D-1260	 | 	УСБТ ПТК ТД-2. Журнал силовых кабелей МПУ
2009	12UBN.J.C00.D-1270	 | 	УСБТ ПТК. КХОП. Журнал силовых кабелей МПУ
2010	12UBN.J.C00.D-1280	 | 	УСБТ. ПТК ВД-2. Схемы внешних подключений к МПУ
2011	12UBN.J.C00.D-1300	 | 	УСБТ. ПТК ТД-2. Схемы внешних подключений к МПУ
2012	12UBN.J.C00.D-1310	 | 	НКУ систем НЭ. Задание заводу на сборки 0.38 кВ
2013	12UBN.J.C00.D-1320	 | 	НКУ СБ. Задание заводу на сборки 0.38 кВ
2014	12UBN.J.C00.D-1330	 | 	Задание заводу на МПУ вторичных преобразователей КИП
2015	12UBN.J.C00.D-1350	 | 	Система общестанционной телефонной связи
2016	12UBN.J.C00.D-1360	 | 	Система общестанционной телефонной связи. Журнал контрольных кабелей
2017	12UBN.J.C00.D-1370	 | 	Система оперативной громкоговорящей и телефонной связи
2018	12UBN.J.C00.D-1380	 | 	Система оперативной громкоговорящей и телефонной связи. Журнал контрольных кабелей
2019	12UBN.J.C00.D-1390	 | 	Система оповещения и поиска персонала
2020	12UBN.J.C00.D-1400	 | 	Система оповещения и поиска персонала. Журнал контрольных кабелей
2021	12UBN.J.C00.D-1410	 | 	Система часофикации
2022	12UBN.J.C00.D-1420	 | 	Система часофикации. Журнал контрольных кабелей
2023	12UBN.J.C00.D-1430	 | 	Система эксплуатационных радиотелефонов
2024	12UBN.J.C00.D-1490	 | 	МПУ. Перечень объектов управления. Запорная арматура
2025	12UBN.J.C00.D-1500	 | 	МПУ. Перечень объектов управления. Механизмы
2026	12UBN.J.C00.D-1510	 | 	МПУ. Перечень объектов управления. Регулирующая арматура
2027	12UBN.J.C00.D-1520	 | 	МПУ. Схема структурная комплекса технических средств
2028	12UBN.J.C00.D-1530	 | 	Система технологического видеонаблюдения (промтелевидение)
2029	12UBN.J.C00.D-2050	 | 	Система технологического видеонаблюдения (промтелевидение). Журнал контрольных кабелей
2030	12UBN.J.C01.D-1440	 | 	Система эксплуатационных радиотелефонов. Журнал контрольных кабелей
2031	12UBN.J.CMG.D-2020	 | 	СКУ ПЗ. Газовое пожаротушение. Журнал контрольных кабелей
2032	12UBN.J.CMN.D-2000	 | 	СКУ ПЗ. Автоматическое пожаротушение тонко распыленной водой. Журнал контрольных кабелей
2033	12UBN.J.CMN.D-2010	 | 	СКУ ПЗ. Автоматическое пожаротушение тонко распыленной водой. Журнал силовых кабелей
2034	12UBN.J.CY0.D-2000	 | 	СКУ ПЗ. Задание на программное обеспечение технических средств СКУ ПЗ
2035	12UBN.J.CYE.D-1000	 | 	СКУ ПЗ. Автоматическое пожаротушение тонко распыленной водой
2036	12UBN.J.CYE.D-1020	 | 	СКУ ПЗ. Газовое пожаротушение
2037	12UBN.J.CYE.D-1050	 | 	СКУ ПЗ. Оповещение о пожаре
2038	12UBN.J.CYE.D-1060	 | 	СКУ ПЗ. Пожарная сигнализация
2039	12UBN.J.CYE.D-1070	 | 	СКУ ПЗ. Системы вентиляции
2040	12UBN.J.CYE.D-2030	 | 	СКУ ПЗ. Пожарная сигнализация. Журнал контрольных кабелей
2041	12UBN.T.PCB.D-1130	 | 	Трубопроводы системы охлаждения
2042	12UBN.T.PCB.D-1160	 | 	Трубопроводы системы охлаждения. Задание заводу
2043	12UBN.T.SCD.D-2170	 | 	Трубопроводы системы сжатого воздуха для ремонтных нужд. Задание заводу
2044	12UBN.T.SCD.D-2180	 | 	Трубопроводы системы сжатого воздуха для ремонтных нужд
2045	12UBN.T.SCD.D-2280	 | 	Принципиальная схема системы сжатого воздуха для ремонтных нужд (SCD)
2046	12UBZ.J.CYC.D-1000	 | 	(12UBZ). СКУ ПЗ. Пожарная сигнализация
2047	12UBZ.J.CYE.D-1000	 | 	(12UBZ). СКУ ПЗ. Оповещение о пожаре
2048	12UEJ.J.CYB.D-1000	 | 	Система оперативной громкоговорящей и телефонной связи
2049	12UEJ.J.CYB.D-1010	 | 	Система оперативной громкоговорящей и телефонной связи. Журнал контрольных кабелей
2050	12UEJ.J.CYC.D-1010	 | 	Система оповещения и поиска персонала
2051	12UEJ.J.CYC.D-1020	 | 	Система оповещения и поиска персонала. Журнал контрольных кабелей
2052	12UEJ.J.CYE.D-1000	 | 	СКУ ПЗ. Пожарная сигнализация
2053	12UEJ.J.CYE.D-1010	 | 	СКУ ПЗ. Оповещение о пожаре
2054	12UEJ.J.CYY.D-1000	 | 	Система эксплуатационных радиотелефонов
2055	12UEJ.J.CYY.D-1010	 | 	Система эксплуатационных радиотелефонов. Журнал контрольных кабелей
2056	12UJY.J.CYA.D-1000	 | 	Система общестанционной телефонной связи
